,cid,pid,sex,gebjahr,immiyear,germborn,corigin,gebmonat,gebmoval,loc1989,migback,fsedu,msedu,freli,mreli,locchildh,bioyear,fnat,mnat,fprofstat,mprofstat,morigin,forigin,agefjob,ageinfo,nojob,stillfj,occfjob,fulltime,fjblue,fjselfe,fjwhite,fjcivs,scopelj,civilslj,nacelj,occljob,ljblue,ljselfe,ljsefsiz,ljwhite,ljcivs,inteduc1,inteduc3,inteduc2,inteduc4,bioage
66810,2319295,23192901,2,1971,-2,1,1,11,5,2,3,6,6,4,4,1,2018,2,2,220,210,2,2,19.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-2.0,10.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,47
66812,2319295,23192903,1,1998,-2,1,1,11,5,-2,3,5,1,-1,-1,1,2018,2,1,-1,-1,-2,-2,18.0,1.0,-2.0,-1.0,1.0,0.0,12.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,6.0,-2.0,-2.0,-2.0,20
66813,2319309,23193001,1,1986,-2,1,1,5,5,2,3,0,0,6,6,1,2018,1,1,521,10,2,2,16.0,1.0,-2.0,-1.0,1.0,1.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,32
66824,2322059,23220501,1,1987,-2,1,1,1,5,2,3,1,1,4,4,1,2018,2,2,10,220,2,2,26.0,1.0,-2.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,31
66825,2322059,23220502,2,1987,-2,1,1,11,5,2,3,1,1,4,4,1,2018,2,2,1,220,2,2,26.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-2.0,30.0,-2.0,1.0,2.0,-1.0,3.0,-2.0,-2.0,-2.0,22.0,-2.0,-2.0,-2.0,-2.0,-2.0,31
66848,2330965,23309601,2,1974,-2,1,1,5,5,2,3,0,0,1,6,1,2018,2,1,434,521,1,5,21.0,1.0,-2.0,-1.0,3.0,1.0,-2.0,-2.0,30.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,44
66870,2335193,23351901,2,1979,-2,1,1,11,5,3,3,5,6,6,6,1,2018,1,2,210,10,76,76,32.0,1.0,-2.0,-1.0,1.0,1.0,12.0,-2.0,-2.0,-2.0,2.0,2.0,-1.0,1.0,12.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,39
66871,2335193,23351902,2,1995,-2,1,1,9,5,-2,3,1,6,4,-1,1,2018,1,2,230,-1,-2,76,18.0,1.0,-2.0,-1.0,1.0,-1.0,12.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,23
66872,2335193,23351903,2,1997,-2,1,1,12,5,-2,3,0,6,4,-1,1,2018,1,2,230,-1,-2,76,18.0,1.0,-2.0,-1.0,1.0,1.0,11.0,-2.0,-2.0,-2.0,1.0,2.0,-1.0,1.0,11.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,21
66878,2335843,23358401,1,1983,-2,1,1,9,5,2,3,6,6,6,4,1,2018,2,2,220,210,2,2,22.0,1.0,-2.0,-1.0,1.0,1.0,12.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,35
